Leasing,Spalanie W Cyklu Mieszanym,Generacja,Skrzynia biegów,Rok produkcji,Kierownica po prawej (Anglik),Pojemność skokowa,Pojemność baterii,Liczba pozostałych rat,Kraj pochodzenia,Opłata początkowa,Oferta od,Rodzaj paliwa,Wartość wykupu,Zarejestrowany jako zabytek,Rodzaj koloru,Moc,Rodzaj własności baterii,Gwarancja dealerska (w cenie),Napęd,Tuning,Kolor,Bezwypadkowy,Przebieg,Możliwość finansowania,Ma numer rejestracyjny,Data pierwszej rejestracji w historii pojazdu,Homologacja ciężarowa,Spalanie Poza Miastem,Model pojazdu,Liczba drzwi,VAT marża,Faktura VAT,Numer rejestracyjny pojazdu,Emisja CO2,Autonomia,Stan,Cena,lub do (przebieg km),Wersja,Miesięczna rata,Zarejestrowany w Polsce,Okres gwarancji producenta,Pokaż oferty z numerem VIN,Pierwszy właściciel (od nowości),Serwisowany w ASO,Liczba miejsc,Marka pojazdu,Spalanie W Mieście,Uszkodzony,Średnie zużycie,Typ nadwozia
,,,Automatyczna,2018,,2 995 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,,354 KM,,,4x4 (stały),,Biały,,44 000 km,,Tak,czerwiec 2018,,6.0 l/100km,S5,5,,,Ony1145,170 g/km,,Używane,169 900,,Sportback 3.0 TFSI quattro tiptronic,,Tak,,Tak,Tak,,5,Audi,"10,10 l/100km",,,Sedan
,,,Automatyczna,2013,,1 685 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,141 KM,,,Na przednie koła,,Biały,,241 000 km,,,02 październik 2013,,,i40,5,,,,,,Używane,37 700,,Kombi 1.7 CRDi DCT Premium,,,,Tak,,Tak,5,Hyundai,"5,90 l/100km",,,Kombi
,,H (2004-2014),Manualna,2004,,1 598 cm3,,,,,Prywatne,Benzyna+LPG,,,Metalik,105 KM,,,Na przednie koła,,Niebieski,,261 190 km,,Tak,26 styczeń 2005,,,Astra,5,,,PZ 272WC,,,Używane,9 500,,,,Tak,,Tak,,,5,Opel,,,,Auta miejskie
,,Mk4 (2015-2022),Automatyczna,2019,,1 998 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,150 KM,,,Na przednie koła,,Szary,Tak,46 000 km,,Tak,,,4.8 l/100km,Galaxy,5,,,,140 g/km,,Używane,79 900,,2.0 EcoBlue Business,,,,Tak,Tak,Tak,7,Ford,"6,10 l/100km",Tak,,Minivan
,,B6 (2005-2010),Manualna,2007,,1 896 cm3,,,Niemcy,,Prywatne,Diesel,,,,105 KM,,,,,Szary,Tak,279 000 km,,Tak,14 sierpień 2007,,,Passat,5,,,xxxxx,,,Używane,14 900,,1.9 TDI Highline,,,,Tak,,Tak,5,Volkswagen,7 l/100km,,,Kombi
,,Mk3 (2010-2018),Manualna,2013,,1 560 cm3,,,,,Prywatne,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Srebrny,,195 000 km,,Tak,,,6.5 l/100km,Focus,5,,,,188 g/km,,Używane,28 999,,,,,,Tak,,,5,Ford,"10,30 l/100km",,,Kombi
Tak,,,Automatyczna,2023,,1 968 cm3,,,Polska,,Firma,Diesel,,,,204 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Multivan,5,,Tak,,,,Nowe,325 950,,6.1 2.0 TDI L1 Highline DSG,,,,Tak,Tak,,2,Volkswagen,,,,Minivan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,,Automatyczna,2023,,1 968 cm3,,,Polska,,Firma,Diesel,,,,204 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Multivan,5,,Tak,,,,Nowe,325 950,,6.1 2.0 TDI L1 Highline DSG,,,,Tak,Tak,,2,Volkswagen,,,,Minivan
Tak,,V (2019-),Manualna,2022,,999 cm3,,,Polska,,Firma,Benzyna,,,Metalik,90 KM,,,Na przednie koła,,Inny kolor,Tak,28 043 km,Tak,Tak,03 październik 2022,,,Clio,5,,Tak,WK84304,,,Używane,69 500,,1.0 TCe Intens,,Tak,,Tak,Tak,Tak,5,Renault,,,,Kompakt
Tak,,W213 (2016-2023),Automatyczna,2023,,1 991 cm3,,,Polska,,Firma,Benzyna,,,Metalik,258 KM,,,Na tylne koła,,Szary,Tak,14 500 km,Tak,,05 lipiec 2023,,,Klasa E,2,,Tak,,,,Używane,319 900,,,,Tak,,Tak,Tak,Tak,4,Mercedes-Benz,,,,Coupe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V (2007-2016),Automatyczna,2010,,3 952 cm3,,,Szwecja,,Prywatne,Benzyna,,,Perłowy,251 KM,,,Na przednie koła,,Czarny,Tak,160 000 km,,Tak,październik 2010,,,Town & Country,5,,,xxxxxxxxxxxx,,,Używane,56 000,,4.0 Limited,,Tak,,Tak,,,6,Chrysler,,,,Minivan
Tak,,,Automatyczna,2023,,1 950 cm3,,,Polska,,Firma,Diesel,,,,190 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,5 km,Tak,,,,,GLB,5,,Tak,,,,Nowe,229 199,,,,,,Tak,Tak,Tak,5,Mercedes-Benz,,,,SUV
,,F10/F11 (2009-2017),Automatyczna,2010,,1 995 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,184 KM,,,Na tylne koła,,Srebrny,,345 000 km,,Tak,25 listopad 2010,,4.5 l/100km,Seria 5,5,,,KR931XN,129 g/km,,Używane,37 000,,520d Touring,,Tak,,Tak,,,5,BMW,"5,70 l/100km",,,Kombi
,,F10/F11 (2009-2017),Automatyczna,2016,,1 997 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,Metalik,245 KM,,,4x4 (stały),,Szary,,107 300 km,,Tak,styczeń 2016,,5.0 l/100km,Seria 5,5,,,EL5HX95,149 g/km,,Używane,97 500,,528i xDrive,,Tak,,Tak,Tak,,5,BMW,8 l/100km,,,Sedan
,,III (2008-),Automatyczna,2009,,1 997 cm3,,,,,Prywatne,Diesel,,,,136 KM,,,,,Srebrny,,225 000 km,,,,,,C5,5,,,,,,Używane,22 700,,2.0 HDi Exclusive,,Tak,,Tak,,,,Citroën,10 l/100km,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,W205 (2014-2021),Automatyczna,2019,,1 950 cm3,,,Niemcy,,Prywatne,Diesel,,,,194 KM,,,Na tylne koła,,Granatowy,,87 180 km,,Tak,,,4.4 l/100km,Klasa C,5,,,,128 g/km,,Używane,65 000,,220 d T 9G-TRONIC Exclusive,,,,Tak,,,5,Mercedes-Benz,"5,70 l/100km",Tak,,Kombi
,,IX (2007-2016),Manualna,2016,,1 590 cm3,,,,,Prywatne,Benzyna,,,,117 KM,,,Na przednie koła,,Czarny,,134 905 km,,Tak,,,4.7 l/100km,Lancer,4,,,,134 g/km,,Używane,26 500,,1.6,,,,Tak,,,5,Mitsubishi,"7,60 l/100km",Tak,,Sedan
Tak,,III (2018-),Manualna,2021,,1 482 cm3,,,Polska,,Firma,Benzyna,,,Metalik,160 KM,,,,,Niebieski,Tak,40 780 km,Tak,Tak,,,,Ceed,5,,Tak,WE5E319,,,Używane,69 900,,1.5 T-GDI M,,Tak,,Tak,Tak,Tak,,Kia,,,,Kompakt
Tak,,,Automatyczna,2023,,1 332 cm3,,,Polska,,Firma,Benzyna,,,,163 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,5 km,Tak,,,,,GLB,5,,Tak,,,,Nowe,198 899,,,,,,Tak,Tak,Tak,5,Mercedes-Benz,,,,SUV
Tak,,,Manualna,2023,,1 498 cm3,,,Polska,,Firma,Diesel,,,,,,,Na przednie koła,,Biały,Tak,8 km,Tak,,,,,T-Roc,,,Tak,,,,Nowe,129 900,,,,,,Tak,,,,Volkswagen,,,,Kabriolet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I (2003-2007),Manualna,2007,,1 388 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,80 KM,,,Na przednie koła,,Błękitny,Tak,179 000 km,,Tak,12 listopad 2007,,,2,5,,,xxxxx,,,Używane,8 900,,1.4 Active,,Tak,,Tak,,Tak,5,Mazda,"7,30 l/100km",,,Auta małe
,,VIII (2008-2015),Manualna,2009,,1 997 cm3,,,,,Prywatne,Benzyna,,,Metalik,156 KM,,,Na przednie koła,,Czarny,Tak,208 000 km,,Tak,,,5.0 l/100km,Accord,5,,,,163 g/km,,Używane,29 900,,2.0 Elegance,,Tak,,Tak,,Tak,5,Honda,9 l/100km,,,Sedan
,,,Automatyczna,2016,,647 cm3,,,,,Prywatne,Hybryda,,,Metalik,170 KM,,,,,Niebieski,,119 000 km,,,,,,i3,5,,,,,,Używane,59 900,,(Range Extender),,,,Tak,,,,BMW,,,,Auta miejskie
,,V (2015-2023),Automatyczna,2021,,1 997 cm3,,,Niemcy,,Prywatne,Diesel,,,Perłowy,189 KM,,,Na przednie koła,,Czarny,,26 000 km,,Tak,12 styczeń 2022,,,Espace,5,,,WF9996W,,,Używane,154 500,150 000 km,2.0 Blue dCi Initiale Paris EDC,,Tak,12 Stycznia 2025,Tak,,Tak,5,Renault,,,,Minivan
Tak,,W247 (2018-),Automatyczna,2023,,1 991 cm3,,,Polska,,Firma,Benzyna,,,,190 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Klasa B,5,,Tak,,,,Nowe,208 699,,,,,,Tak,Tak,Tak,5,Mercedes-Benz,,,,Minivan
,,I (2008-2012),Automatyczna,2011,,1 997 cm3,,,Polska,,Prywatne,Diesel,,,,163 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,230 120 km,,,,,,Kuga,5,,,,159 g/km,,Używane,35 900,,2.0 TDCi 4x4 Titanium,,Tak,,Tak,,,5,Ford,"7,40 l/100km",,,SUV
Tak,,C8 (2018-),Automatyczna,2020,,2 967 cm3,,,Niemcy,,Firma,Diesel,,,Perłowy,286 KM,,,4x4 (stały),,Szary,Tak,155 000 km,Tak,Tak,,,,A6,5,,Tak,S-LINE,,,Używane,159 800,,,,Tak,,Tak,Tak,Tak,5,Audi,,,,Kombi
,,II (2013-),Automatyczna,2023,,4 395 cm3,,,Polska,,Prywatne,Benzyna,,,Perłowy,530 KM,,,4x4 (stały),,Czarny,Tak,29 000 km,,Tak,24 marzec 2023,,9.0 l/100km,Range Rover Sport,5,,,ZK....,275 g/km,,Używane,749 000,120 000 km,S 4.4 V8 P530 First Edition,,Tak,24 Marca 2025,Tak,Tak,Tak,5,Land Rover,16 l/100km,,,SUV
,,II (2008-2018),Manualna,2015,,1 560 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,99 KM,,,,,Czarny,Tak,211 900 km,,,30 wrzesień 2015,,,Berlingo,5,,,,,,Używane,33 900,,Multispace BlueHDi 100 S&S ETG6 90 Jahre,,Tak,,Tak,,,5,Citroën,,,,Minivan
,,V (2010-2017),Manualna,2011,,1 242 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,94 KM,,,Na przednie koła,,Inny kolor,Tak,175 000 km,,Tak,24 październik 2011,,4.0 l/100km,Swift,5,,,PWR466FW,116 g/km,,Używane,22 900,,1.2 Club,,Tak,,Tak,,Tak,5,Suzuki,6 l/100km,Tak,,Auta miejskie
Tak,,,Automatyczna,2024,,1 332 cm3,,,Polska,,Firma,Benzyna,,,,163 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,GLA,4,,Tak,,,,Nowe,250 299,,,,,,Tak,Tak,Tak,5,Mercedes-Benz,,,,SUV
,,II (2002-2008),Manualna,2006,,1 598 cm3,,,,,Prywatne,Benzyna,,,Metalik,112 KM,,,Na przednie koła,,Srebrny,,200 000 km,,,,,,Megane,5,,,,,,Używane,7 000,,,,Tak,,Tak,,,5,Renault,,,,Kombi
,,T9 (2014-2021),Manualna,2014,,1 997 cm3,,,Francja,,Prywatne,Diesel,,,Perłowy,150 KM,,,Na przednie koła,,Biały,,161 200 km,,Tak,29 luty 2016,,3.0 l/100km,308,5,,,DLU 85829,,,Używane,37 800,,SW 2.0 Blue HDi Allure S&S,,Tak,,Tak,,Tak,5,Peugeot,4 l/100km,,,Kombi
,,I (2006-2015),Manualna,2008,,1 997 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Zielony,Tak,240 000 km,,,,,,S-Max,5,Tak,,,,,Używane,25 800,,2.0 TDCi DPF Titanium,,,,Tak,,Tak,7,Ford,"7,70 l/100km",,,Minivan
,,W222 (2013-2020),Automatyczna,2016,,2 987 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,258 KM,,,4x4 (stały),,Czarny,Tak,158 000 km,,Tak,,,5.0 l/100km,Klasa S,4,,,,149 g/km,,Używane,245 000,,350 d 4-Matic 9G-TRONIC,,Tak,,Tak,,Tak,5,Mercedes-Benz,6 l/100km,,,Sedan
,,C219 (2004-2010),Automatyczna,2009,,6 208 cm3,,,Japonia,,Prywatne,Benzyna,,,Perłowy,514 KM,,,Na tylne koła,,Biały,Tak,100 050 km,,Tak,,,,CLS,4,,,,,,Używane,135 000,,63 AMG 7G-TRONIC,,Tak,,Tak,,,4,Mercedes-Benz,"22,60 l/100km",,,Coupe
,,III (2001-),Automatyczna,2001,,3 300 cm3,,,Niemcy,,Prywatne,Benzyna+LPG,,,Matowy,174 KM,,,Na przednie koła,,Czarny,,282 000 km,,Tak,08 styczeń 2019,,,Voyager,5,,,ZS 126 KH,,,Używane,7 500,,,,Tak,,Tak,,,7,Chrysler,,,,Minivan
Tak,,Mk4 (2018-),Manualna,2020,,999 cm3,,,Polska,,Prywatne,Benzyna,,,,125 KM,,,Na przednie koła,,Srebrny,,137 000 km,,Tak,06 sierpień 2021,,,Focus,5,,,NO661AL,,,Używane,63 345,,1.0 EcoBoost Connected,,,6 Sierpnia 2024,Tak,,,5,Ford,5 l/100km,,,Kompakt
,,,Automatyczna,2021,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,400 KM,,,4x4 (stały),,Czarny,Tak,135 000 km,,Tak,,,,X5 M,5,,,,,,Używane,268 200,,M50d,,Tak,,Tak,Tak,Tak,5,BMW,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,III (2011-2019),Manualna,2018,,998 cm3,,,Polska,,Firma,Benzyna,,,Metalik,72 KM,,6 miesięcy,Na przednie koła,,Inny kolor,Tak,75 000 km,Tak,Tak,19 październik 2018,,,Yaris,5,,Tak,WE208UN,,,Używane,47 900,,1.0 Premium,,Tak,,Tak,Tak,,5,Toyota,5 l/100km,,,Auta miejskie
Tak,,Mk5 (2014-),Automatyczna,2020,,1 999 cm3,,,Polska,,Firma,Hybryda,,,Metalik,176 KM,,6 miesięcy,Na przednie koła,,Czarny,,122 224 km,,,22 grudzień 2020,,,Mondeo,5,,Tak,,,,Używane,114 900,,,,Tak,,Tak,,Tak,5,Ford,,,,Kombi
,,VIII (2020-),Manualna,2023,,1 968 cm3,,,,,Firma,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Szary,Tak,5 km,Tak,,,,,Golf,5,,Tak,,,,Nowe,109 900,,VIII 2.0 TDI Life,,,,Tak,,,5,Volkswagen,,,,Kompakt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,II (2017-),Manualna,2020,,1 461 cm3,,,Polska,,Prywatne,Diesel,,,,115 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,204 000 km,,Tak,21 wrzesień 2020,,,Duster,5,,,WZ335AY,,,Używane,48 500,,1.5 Blue dCi Comfort 4WD EU6d,,Tak,,Tak,Tak,Tak,5,Dacia,,,,SUV
Tak,,B9 (2023-),Automatyczna,2024,,1 498 cm3,,,,,Firma,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Zielony,Tak,10 km,Tak,,,,,Passat,5,,Tak,,,,Nowe,166 200,,1.5 TSI ACT mHEV DSG,,,,,,,5,Volkswagen,,,,Kombi
Tak,,,Automatyczna,2023,,4 395 cm3,,,,,Firma,Hybryda,,,,653 KM,,,4x4 (stały),,Czarny,Tak,5 km,,,,,,XM,5,,,,,,Nowe,843 900,,,13 604 PLN,,,Tak,,,5,BMW,,,,SUV
,,W222 (2013-2020),Automatyczna,2014,,2 987 cm3,,,Polska,,Prywatne,Diesel,,,,258 KM,,,4x4 (stały),,Inny kolor,Tak,148 000 km,,Tak,18 lipiec 2014,,5.0 l/100km,Klasa S,4,,,DW056XC,195 g/km,,Używane,165 000,,350 BlueTec 4-Matic,,Tak,,Tak,Tak,Tak,5,Mercedes-Benz,10 l/100km,,,Sedan
,,B9 (2015-),Automatyczna,2024,,1 984 cm3,,,,,Firma,Benzyna,,,,204 KM,,,Na przednie koła,,Szary,Tak,1 km,,,,,,A4,4,,,,,,Nowe,191 388,,,,,,,,,5,Audi,,,,Sedan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Manualna,2000,,1 997 cm3,,,,,Prywatne,Benzyna+LPG,,,,139 KM,,,,,Czerwony,,285 500 km,,,,,,Coupe,3,,,,,,Używane,4 700,,2.0 FX,,,,Tak,,,5,Hyundai,,,,Coupe
,,II (2017-),Automatyczna,2018,,1 997 cm3,,,,,Prywatne,Diesel,,,Metalik,180 KM,,,Na przednie koła,,Czarny,Tak,158 003 km,,Tak,16 kwiecień 2018,,4.0 l/100km,5008,5,,,PO9VV25,124 g/km,,Używane,99 900,,2.0 BlueHDI GT S&S EAT6,,Tak,,Tak,Tak,Tak,7,Peugeot,5 l/100km,,,Kombi
,,G01 (2017-),Automatyczna,2018,,1 995 cm3,,,Polska,,Prywatne,Diesel,,,,231 KM,,,4x4 (stały),,Biały,Tak,100 000 km,,Tak,,,5.0 l/100km,X3,5,,,,145 g/km,,Używane,148 900,,xDrive25d sport,,Tak,,Tak,Tak,Tak,5,BMW,6 l/100km,,,SUV
,,W213 (2016-2023),Automatyczna,2019,,1 950 cm3,,,,,Prywatne,Hybryda Plug-in,,,Metalik,194 KM,,,Na tylne koła,,Granatowy,,59 500 km,,,,,,Klasa E,5,,,,,,Używane,190 000,,300 de T 9G-TRONIC AMG Line,,,,Tak,,,5,Mercedes-Benz,,,,Kombi
,,,Automatyczna,2022,,2 998 cm3,,,,,Prywatne,Benzyna,,,,374 KM,,,4x4 (stały),,Szary,,30 000 km,,Tak,23 marzec 2022,,,Seria 2,2,,,wewee,,,Używane,69 900,,M240i xDrive,,,,Tak,,,,BMW,,Tak,,Coupe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A (2008-2017),Manualna,2011,,1 956 cm3,,,,,Prywatne,Diesel,,,Metalik,130 KM,,,Na przednie koła,,Szary,Tak,200 000 km,,Tak,09 wrzesień 2011,,,Insignia,5,,,WP0962S,,,Używane,27 900,,,,Tak,,Tak,,Tak,5,Opel,,,,Kombi
,,,Manualna,2012,,1 984 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,170 KM,,,4x4 (dołączany automatycznie),,Srebrny,,108 000 km,,,26 styczeń 2012,,,Q3,5,,,,,,Używane,20 000,,2.0 TFSI Quattro,,,,Tak,,,5,Audi,9 l/100km,Tak,,SUV
,,T5,Manualna,2014,,1 968 cm3,,,,,Firma,Diesel,,,,102 KM,,,Na przednie koła,,Biały,,176 000 km,,Tak,20 czerwiec 2014,,,Transporter,4,,,kbc74467,,,Używane,48 585,,,,,,Tak,,,3,Volkswagen,,,,Minivan
,,8V (2012-),Manualna,2018,,1 498 cm3,,,Niemcy,,Prywatne,Benzyna,,,,150 KM,,,Na przednie koła,,Czarny,Tak,92 000 km,,,,,,A3,5,,,,,,Używane,64 500,,1.5 TFSI,,Tak,,Tak,,,,Audi,6 l/100km,,,Kompakt
,,I (2007-2013),Manualna,2012,,1 598 cm3,,,Dania,,Prywatne,Benzyna,,,,117 KM,,,Na przednie koła,,Biały,,206 000 km,,Tak,,,5.6 l/100km,Qashqai,5,,,,154 g/km,,Używane,32 900,,1.6 acenta,,Tak,,Tak,,,5,Nissan,"8,30 l/100km",,,SUV
,,,Automatyczna,1999,,2 497 cm3,,,,,Prywatne,Benzyna+LPG,,,,177 KM,,,Na przednie koła,,Srebrny,,248 100 km,,Tak,28 lipiec 2014,,8.0 l/100km,75,4,,,OP7834M,,,Używane,10 000,,R 2.5i V6,,,,Tak,,,5,Rover,19 l/100km,,,Sedan
,,I (2009-2017),Manualna,2014,,1 197 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,125 KM,,,Na przednie koła,,Biały,,108 000 km,,Tak,,,5.0 l/100km,Duster,5,,,,138 g/km,,Używane,34 999,,1.2 TCe Prestige,,,,Tak,Tak,Tak,5,Dacia,7 l/100km,,,SUV
,,8P (2003-2012),Manualna,2008,,1 896 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,105 KM,,,Na przednie koła,,Czarny,,355 654 km,,Tak,11 listopad 2008,,,A3,5,,,ELAGG03,,,Używane,22 500,,1.9 TDI Sportback DPF Ambition,,Tak,,Tak,,,5,Audi,"6,10 l/100km",,,Kompakt
,,W221 (2005-2013),Automatyczna,2007,,2 987 cm3,,,,,Prywatne,Diesel,,,,235 KM,,,,,Szary,,445 000 km,,Tak,styczeń 2007,,,Klasa S,4,,,GD11111,,,Używane,43 900,,320 CDI,,,,Tak,,,5,Mercedes-Benz,11 l/100km,,,Sedan
Tak,,,Manualna,2021,,999 cm3,,,,,Firma,Benzyna,,,,110 KM,,,Na przednie koła,,Czerwony,Tak,33 422 km,Tak,Tak,28 czerwiec 2021,,,T-Roc,5,,Tak,PO3UN57,,,Używane,85 900,,1.0 TSI Advance,,Tak,,Tak,Tak,Tak,5,Volkswagen,,,,SUV
,,Mk3 (2010-2018),Manualna,2012,,1 560 cm3,,,Dania,,Prywatne,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Czarny,Tak,243 000 km,,Tak,27 kwiecień 2012,,,Focus,5,,,PWL39728,,,Używane,18 000,,,,Tak,,Tak,,,5,Ford,,,,Kombi
,,,Manualna,2009,,1 248 cm3,,,Polska,,Prywatne,Diesel,,,,75 KM,,,Na przednie koła,Tak,Srebrny,Tak,298 400 km,,Tak,30 wrzesień 2009,Tak,3.0 l/100km,Fiorino,4,,,NO2395X,119 g/km,,Używane,12 900,,1.3 Multijet 16V Elegant,,Tak,,Tak,,,2,Fiat,5 l/100km,,,Minivan
,,II (2010-),Automatyczna,2014,,1 364 cm3,,,,,Prywatne,Benzyna,,,Metalik,120 KM,,,Na przednie koła,,Szary,,134 000 km,,Tak,20 marzec 2014,,,Meriva,5,,,ETM16254,,,Używane,34 400,,1.4 T Cosmo,,,,Tak,,,5,Opel,,,,Minivan
,,II (2010-),Manualna,2017,,1 398 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,100 KM,,,Na przednie koła,,Czarny,,154 000 km,,Tak,17 luty 2017,,5.0 l/100km,Meriva,5,,,WPN06467,140 g/km,,Używane,36 900,,1.4 Cosmo,,,,Tak,,Tak,5,Opel,7 l/100km,,,Minivan
,,I (2012-2019),Manualna,2019,,1 199 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,83 KM,,,Na przednie koła,,Szary,Tak,23 919 km,,Tak,23 maj 2019,,,208,5,,,PO8KU59,,,Używane,48 000,,,,Tak,,Tak,Tak,Tak,5,Peugeot,"5,80 l/100km",,,Auta miejskie
,,,Automatyczna,2022,,,87 kWh,,Polska,,Firma,Elektryczny,,,Metalik,242 KM,W cenie,,Na przednie koła,,Inny kolor,Tak,3 510 km,,Tak,,,,Ariya,5,,Tak,OP0064S,,525 km,Nowe,229 990,,87kWh Evolve,,Tak,,,Tak,Tak,5,Nissan,,,18 kWh/100km,SUV
,,,Manualna,2023,,999 cm3,,,Polska,,Firma,Benzyna,,,Metalik,110 KM,,,Na przednie koła,,Czarny,Tak,1 400 km,,Tak,,,,T-Cross,5,,,,,,Używane,104 900,,1.0 TSI Style,,Tak,,Tak,Tak,Tak,5,Volkswagen,,,,SUV
,,III (2013-),Automatyczna,2020,,1 968 cm3,,,Niemcy,,Firma,Diesel,,,Metalik,184 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,207 000 km,Tak,Tak,25 luty 2020,,4.3 l/100km,Octavia,5,,Tak,POZDRAWIAMY,126 g/km,,Używane,69 900,,Combi 2.0 TDI 4x4 DSG RS,,Tak,,Tak,Tak,Tak,5,Skoda,"5,70 l/100km",,,Kombi
Tak,,II (2014-),Automatyczna,2023,,1 950 cm3,,31,Polska,84 250 PLN,Prywatne,Diesel,117 950 PLN,,Metalik,239 KM,,,4x4 (stały),,Biały,Tak,13 900 km,,Tak,16 październik 2023,,6.0 l/100km,Klasa V,4,,,RZ427EY,172 g/km,,Używane,387 450,120 000 km,300 d 4-Matic Avantgarde 9G-Tronic (d³ugi),"5 474,32 PLN",Tak,15 Października 2027,Tak,Tak,Tak,7,Mercedes-Benz,7 l/100km,,,Minivan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,II (2014-),Automatyczna,2023,,1 950 cm3,,31,Polska,84 250 PLN,Prywatne,Diesel,117 950 PLN,,Metalik,239 KM,,,4x4 (stały),,Biały,Tak,13 900 km,,Tak,16 październik 2023,,6.0 l/100km,Klasa V,4,,,RZ427EY,172 g/km,,Używane,387 450,120 000 km,300 d 4-Matic Avantgarde 9G-Tronic (d³ugi),"5 474,32 PLN",Tak,15 Października 2027,Tak,Tak,Tak,7,Mercedes-Benz,7 l/100km,,,Minivan
,,II (2008-2018),Manualna,2013,,1 598 cm3,,,Dania,,Prywatne,Benzyna,,,,98 KM,,,Na przednie koła,,Czarny,Tak,173 000 km,,Tak,,,5.0 l/100km,Berlingo,5,,,,164 g/km,,Używane,28 500,,1.6 VTi Multispace,,,,Tak,Tak,,,Citroën,9 l/100km,,,Minivan
,,III (2017-),Manualna,2021,,1 498 cm3,,,Polska,,Firma,Benzyna,,,Perłowy,110 KM,,,Na przednie koła,,Biały,Tak,17 607 km,Tak,Tak,17 czerwiec 2021,,,I30,5,,Tak,CB576MP,,,Używane,69 900,,1.5 DPI Classic +,,Tak,,Tak,Tak,Tak,5,Hyundai,,,,Kompakt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Perłowy,190 KM,,,Na przednie koła,,Czarny,Tak,10 km,,,,,,Arteon,5,,Tak,,,,Nowe,209 000,,2.0 TSI Elegance DSG,,,,,,,5,Volkswagen,,,,Sedan
,,C8 (2018-),Automatyczna,2019,,1 968 cm3,,,Polska,,Firma,Diesel,,,Metalik,204 KM,,,4x4 (dołączany automatycznie),,Czarny,Tak,63 366 km,Tak,Tak,02 grudzień 2019,,,A6,4,,Tak,WF0167U,,,Używane,169 700,,40 TDI mHEV Quattro S tronic,,Tak,,Tak,Tak,Tak,5,Audi,5 l/100km,,,Sedan
,,,Automatyczna,2020,,,58 kWh,,Polska,,Firma,Elektryczny,,,Metalik,204 KM,W cenie,,Na tylne koła,,Biały,Tak,42 600 km,,Tak,24 wrzesień 2020,,,ID.3,5,,,P0ID3,,424 km,Używane,109 900,,58kWh 1ST Plus,,Tak,,Tak,Tak,Tak,5,Volkswagen,,,15 kWh/100km,Kompakt
